stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
1321,1321,Sauvaie,Rennes,48.09387292,-1.63388391,,,0
1322,1322,Sauvaie,Rennes,48.09430784,-1.63474285,,,0
1323,1323,CARSAT,Rennes,48.09543821,-1.63808487,,,0
1324,1324,Domaine,Rennes,48.09761101,-1.6424202,,,0
1325,1325,Landry,Rennes,48.09943332,-1.64672508,,,0
1326,1326,Villebois-Mareuil,Rennes,48.10121174,-1.64962683,,,0
1327,1327,Raison,Rennes,48.10137672,-1.65366515,,,0
1328,1328,Lycée Mendès France,Rennes,48.1332141,-1.68528827,,,0
1329,1329,IUFM,Rennes,48.12163125,-1.6832374,,,0
1330,1330,Auberge de Jeunesse,Rennes,48.1203716,-1.68159095,,,0
1331,1331,Square de la Rance,Rennes,48.11797136,-1.68074546,,,0
1333,1333,Jacques Cartier,Rennes,48.09774726,-1.67519921,,,0
1334,1334,Châtillon,Rennes,48.09775842,-1.67128426,,,0
1335,1335,Ormeaux,Rennes,48.09773962,-1.66834901,,,0
1336,1336,Bigot de Préameneu,Rennes,48.09802171,-1.66646307,,,0
1337,1337,Sainte-Thérèse,Rennes,48.09759286,-1.66295336,,,0
1338,1338,Leray,Rennes,48.095015,-1.66158209,,,0
1339,1339,Langevin,Rennes,48.09472542,-1.65865006,,,0
1340,1340,Gide,Rennes,48.09203054,-1.65841246,,,0
1341,1341,Landrel,Rennes,48.09126172,-1.65460419,,,0
1342,1342,Pologne,Rennes,48.09120234,-1.65177341,,,0
1343,1343,La Poterie,Rennes,48.08760897,-1.64596836,,,0
1344,1344,Galicie,Rennes,48.08766529,-1.65003592,,,0
1345,1345,Sainte-Elisabeth,Rennes,48.08488149,-1.65113631,,,0
1346,1346,Hôpital Sud,Rennes,48.08468763,-1.65512833,,,0
1347,1347,Torigné,Rennes,48.0847348,-1.6578097,,,0
1348,1348,Tage,Rennes,48.08362139,-1.66384619,,,0
1349,1349,Douro,Rennes,48.08367369,-1.66817147,,,0
1350,1350,Portugal,Rennes,48.08358341,-1.67230489,,,0
1351,1351,Douro,Rennes,48.08348914,-1.6673577,,,0
1352,1352,Tage,Rennes,48.08346404,-1.66326727,,,0
1353,1353,Torigné,Rennes,48.08455564,-1.65800916,,,0
1354,1354,Hôpital Sud,Rennes,48.08448592,-1.65324443,,,0
1355,1355,Sainte-Elisabeth,Rennes,48.08492855,-1.65085793,,,0
1356,1356,Galicie,Rennes,48.08753214,-1.64998384,,,0
1358,1358,Pologne,Rennes,48.09136825,-1.65190911,,,0
1359,1359,Landrel,Rennes,48.09143755,-1.6556288,,,0
1360,1360,Gide,Rennes,48.09241999,-1.65836606,,,0
1361,1361,Langevin,Rennes,48.09421028,-1.65822788,,,0
1362,1362,Leray,Rennes,48.09508001,-1.661534,,,0
1363,1363,Sainte-Thérèse,Rennes,48.09744233,-1.66265748,,,0
1364,1364,Bigot de Préameneu,Rennes,48.09802421,-1.6670823,,,0
1365,1365,Ormeaux,Rennes,48.09771617,-1.6691678,,,0
1366,1366,Châtillon,Rennes,48.09775635,-1.67110913,,,0
1367,1367,Rennes Mairie,Rennes,48.1109799,-1.67952017,,,0
1368,1368,Square de la Rance,Rennes,48.11837352,-1.68060609,,,0
1369,1369,Auberge de Jeunesse,Rennes,48.12026611,-1.68107001,,,0
1370,1370,IUFM,Rennes,48.12202159,-1.68362206,,,0
1371,1371,Lycée Mendès France,Rennes,48.13300291,-1.68506819,,,0
1372,1372,Saint-Laurent,Rennes,48.13840918,-1.65907086,,,0
1373,1373,Hôtel de Région,Rennes,48.13520527,-1.65938653,,,0
1374,1374,Longs Prés,Rennes,48.13324759,-1.65693216,,,0
1375,1375,Gast,Rennes,48.13013692,-1.65672512,,,0
1376,1376,Europe,Rennes,48.12855272,-1.65712399,,,0
1377,1377,Trégain,Rennes,48.12679292,-1.65854407,,,0
1378,1378,Saint-Exupéry,Rennes,48.12493298,-1.66135545,,,0
1379,1379,Inkermann,Rennes,48.10591112,-1.68865396,,,0
1380,1380,Mabilais,Rennes,48.10521431,-1.690759,,,0
1381,1381,Malakoff,Rennes,48.10508381,-1.69426018,,,0
1382,1382,Voltaire,Rennes,48.10510437,-1.69871692,,,0
1383,1383,Dargent,Rennes,48.10360722,-1.70009111,,,0
1384,1384,Champion de Cicé,Rennes,48.10261975,-1.70382543,,,0
1385,1385,De Lesseps,Rennes,48.10069087,-1.70697779,,,0
1386,1386,Guérinais,Rennes,48.09893482,-1.70535446,,,0
1387,1387,Récipon,Rennes,48.09801007,-1.70819232,,,0
1388,1388,Montand,Rennes,48.099342,-1.7111775,,,0
1389,1389,Clinique La Sagesse,Rennes,48.101218,-1.71182929,,,0
1390,1390,Cleunay,Rennes,48.10413591,-1.71347582,,,0
1391,1391,Clinique La Sagesse,Rennes,48.1008831,-1.71163792,,,0
1392,1392,Montand,Rennes,48.09988042,-1.71123897,,,0
1393,1393,Récipon,Rennes,48.09789624,-1.70765735,,,0
1394,1394,Guérinais,Rennes,48.09900079,-1.70550837,,,0
1395,1395,De Lesseps,Rennes,48.10101371,-1.70702001,,,0
1396,1396,Champion de Cicé,Rennes,48.10225768,-1.70499098,,,0
1397,1397,Dargent,Rennes,48.10361769,-1.70028046,,,0
1398,1398,Voltaire,Rennes,48.10518896,-1.69863023,,,0
1399,1399,Malakoff,Rennes,48.10497612,-1.69402181,,,0
1400,1400,Mabilais,Rennes,48.10541286,-1.68984796,,,0
1401,1401,Inkermann,Rennes,48.10562192,-1.68776692,,,0
1402,1402,Cité Judiciaire,Rennes,48.10558068,-1.68517914,,,0
1403,1403,Saint-Exupéry,Rennes,48.12522631,-1.66100436,,,0
1404,1404,Trégain,Rennes,48.12676756,-1.65850144,,,0
1405,1405,Europe,Rennes,48.12834453,-1.65714602,,,0
1406,1406,Gast,Rennes,48.13074039,-1.65650905,,,0
1407,1407,Longs Prés,Rennes,48.13305845,-1.65670003,,,0
1408,1408,Vitré Péguy,Rennes,48.11971485,-1.65129628,,,0
1409,1409,Joliot-Curie,Rennes,48.12687028,-1.65316527,,,0
